timestamp_ms,timestamp_str,cycle,predicted_class,confidence,all_probs,confirmed
2077898,00:34:37,139,background,0.6472,0.009;0.647;0.009;0.265;0.026;0.044,0
2092938,00:34:52,140,background,0.5308,0.010;0.531;0.015;0.371;0.036;0.036,0
2107980,00:35:07,141,background,0.7159,0.010;0.716;0.012;0.205;0.017;0.041,0
2123018,00:35:23,142,background,0.5218,0.007;0.522;0.012;0.365;0.043;0.051,0
2138058,00:35:38,143,background,0.4957,0.012;0.496;0.010;0.415;0.020;0.049,0
2153098,00:35:53,144,background,0.7112,0.017;0.711;0.010;0.170;0.034;0.058,0
2168138,00:36:08,145,background,0.4883,0.007;0.488;0.011;0.408;0.028;0.057,0
2183178,00:36:23,146,background,0.4917,0.008;0.492;0.016;0.344;0.082;0.058,0
2198218,00:36:38,147,background,0.5789,0.016;0.579;0.040;0.237;0.047;0.081,0
2213260,00:36:53,148,background,0.5462,0.013;0.546;0.013;0.320;0.045;0.064,0
2228298,00:37:08,149,background,0.6306,0.015;0.631;0.015;0.258;0.030;0.052,0
2243338,00:37:23,150,background,0.4890,0.014;0.489;0.023;0.286;0.048;0.140,0
2258378,00:37:38,151,background,0.4461,0.010;0.446;0.012;0.312;0.182;0.037,0
2273418,00:37:53,152,background,0.5231,0.015;0.523;0.018;0.306;0.051;0.088,0
2288458,00:38:08,153,background,0.5944,0.008;0.594;0.010;0.348;0.012;0.028,0
2303500,00:38:23,154,background,0.5314,0.009;0.531;0.015;0.372;0.021;0.052,0
2318538,00:38:38,155,background,0.6266,0.009;0.627;0.018;0.256;0.018;0.073,0
2333578,00:38:53,156,background,0.6088,0.014;0.609;0.020;0.298;0.017;0.042,0
2348618,00:39:08,157,background,0.6984,0.014;0.698;0.011;0.239;0.010;0.028,0
2363658,00:39:23,158,background,0.5945,0.010;0.595;0.010;0.348;0.010;0.028,0
2378698,00:39:38,159,background,0.5810,0.007;0.581;0.011;0.340;0.028;0.033,0
2393738,00:39:53,160,background,0.5222,0.021;0.522;0.036;0.255;0.061;0.105,0
2408780,00:40:08,161,background,0.5614,0.009;0.561;0.013;0.192;0.032;0.192,0
2423818,00:40:23,162,background,0.7584,0.012;0.758;0.009;0.181;0.021;0.018,0
2438858,00:40:38,163,background,0.4807,0.019;0.481;0.009;0.336;0.115;0.039,0
2453898,00:40:53,164,background,0.7603,0.015;0.760;0.015;0.152;0.021;0.036,0
2468938,00:41:08,165,background,0.5213,0.015;0.521;0.009;0.365;0.061;0.030,0
2483978,00:41:23,166,background,0.4889,0.016;0.489;0.023;0.286;0.068;0.117,0
2499018,00:41:39,167,background,0.6243,0.015;0.624;0.015;0.255;0.061;0.030,0
2514060,00:41:54,168,western_meadowlark,0.6067,0.020;0.035;0.029;0.102;0.208;0.607,1
2529364,00:42:09,169,background,0.5685,0.019;0.568;0.016;0.278;0.080;0.039,0
2544394,00:42:24,170,great_horned_owl,0.5832,0.004;0.341;0.004;0.583;0.028;0.040,0
2559434,00:42:39,171,background,0.5549,0.016;0.555;0.159;0.190;0.027;0.054,0
2574474,00:42:54,172,background,0.7031,0.014;0.703;0.016;0.241;0.010;0.016,0
2589514,00:43:09,173,background,0.7210,0.014;0.721;0.010;0.206;0.014;0.035,0
2604556,00:43:24,174,background,0.8337,0.023;0.834;0.023;0.068;0.011;0.040,0
2619594,00:43:39,175,american_crow,1.0000,1.000;0.000;0.000;0.000;0.000;0.000,1
2634900,00:43:54,176,background,0.9664,0.004;0.966;0.002;0.027;0.000;0.001,0
2649930,00:44:09,177,background,0.7264,0.014;0.726;0.014;0.208;0.020;0.017,0
2664970,00:44:24,178,american_crow,0.9826,0.983;0.013;0.001;0.001;0.001;0.001,1
2680274,00:44:40,179,american_crow,0.9300,0.930;0.002;0.002;0.002;0.064;0.000,1
2695578,00:44:55,180,american_crow,0.9756,0.976;0.019;0.003;0.001;0.000;0.000,1
2710906,00:45:10,181,background,0.6269,0.030;0.627;0.043;0.073;0.012;0.214,0
2725898,00:45:25,182,american_crow,1.0000,1.000;0.000;0.000;0.000;0.000;0.000,1
2741212,00:45:41,183,background,0.8357,0.016;0.836;0.028;0.068;0.011;0.040,0
2756234,00:45:56,184,background,0.8199,0.013;0.820;0.033;0.080;0.007;0.047,0
2771274,00:46:11,185,background,0.9295,0.009;0.929;0.022;0.031;0.001;0.007,0
2786314,00:46:26,186,american_crow,0.9947,0.995;0.004;0.000;0.001;0.000;0.000,1
2801628,00:46:41,187,background,0.6585,0.013;0.658;0.026;0.158;0.013;0.132,0
2816650,00:46:56,188,background,0.5926,0.014;0.593;0.083;0.170;0.083;0.058,0
2831690,00:47:11,189,california_quail,0.4766,0.056;0.279;0.477;0.056;0.019;0.114,1
2847011,00:47:27,190,background,0.5221,0.021;0.522;0.017;0.305;0.061;0.073,0
2862026,00:47:42,191,background,0.7979,0.009;0.798;0.065;0.065;0.008;0.055,0
2877066,00:47:57,192,background,0.7035,0.024;0.703;0.040;0.118;0.016;0.098,0
2892106,00:48:12,193,background,0.6278,0.088;0.628;0.043;0.180;0.010;0.051,0
2907148,00:48:27,194,background,0.6364,0.018;0.636;0.152;0.107;0.012;0.074,0
2922186,00:48:42,195,background,0.9048,0.007;0.905;0.012;0.062;0.001;0.012,0
2937226,00:48:57,196,background,0.7780,0.013;0.778;0.031;0.130;0.011;0.037,0
2952266,00:49:12,197,american_crow,0.6307,0.631;0.369;0.000;0.000;0.000;0.000,1
2967586,00:49:27,198,background,0.6162,0.025;0.616;0.042;0.123;0.017;0.176,0
2982602,00:49:42,199,background,0.5961,0.017;0.596;0.017;0.204;0.024;0.143,0
2997644,00:49:57,200,american_crow,0.6619,0.662;0.324;0.002;0.004;0.000;0.008,1
3012964,00:50:12,201,background,0.3828,0.015;0.383;0.037;0.187;0.110;0.268,0
3027978,00:50:27,202,background,0.7431,0.213;0.743;0.003;0.036;0.001;0.004,0
3043018,00:50:43,203,american_crow,1.0000,1.000;0.000;0.000;0.000;0.000;0.000,1
3058338,00:50:58,204,background,0.5818,0.238;0.582;0.097;0.057;0.010;0.016,0
3073354,00:51:13,205,background,0.9045,0.036;0.905;0.018;0.030;0.001;0.010,0
3088394,00:51:28,206,background,0.7540,0.015;0.754;0.052;0.106;0.012;0.062,0
3103436,00:51:43,207,american_crow,1.0000,1.000;0.000;0.000;0.000;0.000;0.000,1
3118762,00:51:58,208,background,0.6139,0.300;0.614;0.035;0.035;0.003;0.012,0
3133770,00:52:13,209,background,0.2961,0.029;0.296;0.035;0.248;0.145;0.248,0
3148810,00:52:28,210,background,0.8310,0.116;0.831;0.008;0.033;0.002;0.010,0
3163850,00:52:43,211,background,0.7537,0.015;0.754;0.036;0.126;0.018;0.052,0
3178890,00:52:58,212,western_meadowlark,0.6049,0.010;0.029;0.050;0.059;0.247;0.605,1
3194218,00:53:14,213,background,0.5947,0.119;0.595;0.058;0.170;0.024;0.034,0
3209228,00:53:29,214,background,0.7521,0.015;0.752;0.025;0.051;0.006;0.151,0
3224266,00:53:44,215,background,0.6594,0.015;0.659;0.022;0.189;0.022;0.092,0
3239306,00:53:59,216,american_crow,0.9497,0.950;0.027;0.016;0.002;0.004;0.003,1
3254636,00:54:14,217,american_crow,0.9924,0.992;0.007;0.000;0.001;0.000;0.000,1
3269930,00:54:29,218,background,0.9064,0.012;0.906;0.036;0.025;0.002;0.018,0
3284938,00:54:44,219,background,0.5039,0.007;0.504;0.024;0.041;0.002;0.421,0
3299980,00:54:59,220,background,0.3963,0.331;0.396;0.055;0.095;0.027;0.095,0
3315018,00:55:15,221,american_crow,0.9219,0.922;0.044;0.000;0.031;0.001;0.001,1
3330355,00:55:30,222,background,0.5313,0.021;0.531;0.018;0.182;0.030;0.217,0
3345354,00:55:45,223,background,0.4563,0.015;0.456;0.031;0.156;0.022;0.319,0
3360394,00:56:00,224,american_crow,0.9960,0.996;0.003;0.000;0.001;0.000;0.000,1
3375730,00:56:15,225,background,0.2938,0.246;0.294;0.084;0.206;0.101;0.070,0
3390730,00:56:30,226,background,0.7084,0.034;0.708;0.020;0.170;0.020;0.049,0
3405772,00:56:45,227,red_tailed_hawk,0.3496,0.020;0.143;0.024;0.292;0.350;0.171,0
3420810,00:57:00,228,background,0.5441,0.009;0.544;0.007;0.381;0.022;0.037,0
3435850,00:57:15,229,great_horned_owl,0.4817,0.013;0.236;0.016;0.482;0.138;0.115,0
3450890,00:57:30,230,great_horned_owl,0.4106,0.016;0.343;0.014;0.411;0.117;0.098,0
3465930,00:57:45,231,background,0.4415,0.009;0.442;0.010;0.442;0.036;0.062,0
3480970,00:58:00,232,background,0.6549,0.015;0.655;0.015;0.224;0.026;0.064,0
3496012,00:58:16,233,great_horned_owl,0.5006,0.020;0.293;0.008;0.501;0.120;0.059,0
3511050,00:58:31,234,great_horned_owl,0.5090,0.007;0.356;0.007;0.509;0.071;0.050,0
3526090,00:58:46,235,background,0.5814,0.016;0.581;0.010;0.340;0.033;0.019,0
3541130,00:59:01,236,background,0.5469,0.011;0.547;0.007;0.383;0.026;0.026,0
3556170,00:59:16,237,background,0.4212,0.012;0.421;0.010;0.352;0.121;0.084,0
